JSON File Name,Tables Found,Empty cell ids,Empty sent ids,Empty word ids,cell inside table,sent inside cell,words inside sent
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-09.json,True,"['4db3b918-ca42-4a00-9cc7-0a668093b178', '15adfbb7-150a-4646-85ed-e7d6d3c8ce06', '9a100906-8a71-47d8-a179-4ccdbc0c6d33', 'b298f010-2b9e-4423-b301-c36085fd6cfc']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-10.json,True,"['59625709-e9e0-44db-a4fe-8bba930b0561', '26bf2243-8e3e-4ccf-ac5e-0dfbd5bc76f4', '4ca8318f-3867-4555-bea1-b374a6ce7668', '721be1cb-68bb-41fa-8707-91b8d3f9e833', '88e7acbe-9b4e-4393-96e8-940b8df6636b', 'ba8d42bd-dc21-4ef4-a61d-9abdaf4409d8', '059fc7d8-1ae1-4548-bb93-4aab106bdfaf']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-11.json,True,"['7f5aef3a-0b75-4d44-bf47-a6bd61f8859e', 'fdd9cf1b-7c15-4f6f-a201-af233e7556cb', '2003f4a8-b42b-4c7f-906e-e93dd10342f7', '9ee400cc-5d1d-480c-9b00-e145a84b3d59', '534d0be3-55e9-470e-91ca-0b5a4e7f81d3', '005369d5-ddf4-4229-ab33-8a8c0926b5b4', '4a9bb13d-9af1-4692-9308-56d8ee127645']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-12.json,True,"['2078869e-a7db-44ad-8124-da71a370c368', '93f0e754-609d-4545-b230-b2c9fa1b3824', '1a32e5f9-35a1-4433-9e17-5f9a3056db60', '6165e345-2d1a-4743-a41a-095be09f2ab0', '0f4749b8-8bd8-4076-8efb-fe8ce4b40271', 'd82d59b7-83bd-4d89-80b8-1e76cc4afca8']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-13.json,True,"['f4ca049c-74e4-4d71-b86d-f09de0272a50', '6d26f924-8829-43ef-9c0a-66787ebd7105']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-01.json,True,"['c06d85e8-3e41-4535-9350-931b20d60e43', 'd163a3c5-c5f4-4703-af5e-399408780aae', 'fdcd6965-2630-4992-86b7-4aa6e2ea558b', '634cb51d-0329-4803-b318-26585008b978', 'e2f2a3ad-dbcb-4b1f-964e-a9b3dd0d35bc', '488d2ede-1443-4e04-983e-d91bf0ccce24', '9e86cca5-fad9-444a-a96c-e0d6f4a37c3f']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-02.json,True,"['21432914-55eb-4ee2-b812-b120d63b9ad9', 'ff4a01df-c1ac-49f2-8a7d-714ee92b49e5', '8c931a2b-2420-4556-a00f-ee88b4ca8d7a', '276d0e02-cbfa-4527-bde9-027a96938d99', '2a3dac27-b3a1-453e-95f4-37df9f3a26ef', 'f0c8e104-7f0d-4d56-a4d0-51e95584b765', 'cd4de0bb-8c24-428c-be5f-25ef8c5e03e0']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-03.json,True,"['4051b2d5-7104-4fbf-b6a1-d6cb08696867', '60f6dbe8-2af5-492d-881d-c37e3bafc6c0', 'd0b7ed48-fe0e-46e5-825e-65675e5148a3', '21757c75-7c75-4a0d-9f52-a11f83de9f29', '09f78fcd-3d7a-4cf4-85fd-701844893178', '43c012a0-94bf-40b4-b7b7-36f89753953f', '2beb10c5-2aa7-4b84-bf45-3c7257205b27', 'f1f05e40-f321-45ce-af8d-4e2d25ee0b86']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-04.json,True,"['810e35ec-5e8a-4d83-944c-454cd38c77d6', '7ba3b6f2-ac50-4853-8d96-78675a2e3fad', '932924c2-0cff-4627-883f-0bc6ed098054', 'd2b8f7c7-942a-4b7f-ace5-c04a8dc68c5a', '5b81d3be-0dda-48d1-9157-1f9507b9f8f3', 'e5219bef-fcd1-4c42-93bb-5345ef0ed6e5']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-05.json,True,"['d1e6b51e-0674-4f6b-bab3-8a156d96e42d', '53b1d51b-01d7-4cfa-9757-228b8625823c', 'e4de2a34-8184-48a5-896e-72056153143f', '53c11496-80ad-4912-a355-8aa08dd03d12', '59f737c8-bc5c-4412-a3e8-f58a80deff1d', 'cf50deae-6ef7-4394-8390-f4026b76ba12', '9ab55e6c-0eb4-470f-a079-26384c05b167', 'a6ff294d-de3e-477c-bf59-af0f101e7f0c']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-06.json,True,"['603b39d4-9665-4846-8daf-e28a3191e5d5', '20e81cd5-9f09-4ce3-bd77-b6633619caf9', 'fa444f14-f12c-446f-9d64-467cc312e455', '02dedab3-724d-4a8f-a939-62223e3d1ee6', '1933e813-254b-44dc-bb10-f6884615170e', '8bf2e3e4-bc52-4028-9187-a486c7cb8207']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-07.json,True,"['d9a3623a-8674-4f66-a915-6430117cd66c', 'c8a85256-8fc5-46ea-9992-14d4da43db8e', 'b2b414b9-2ff4-4c8f-ac5c-be4111f8a868', '3319813f-c805-457c-9fd0-3506820e0f9b', 'c4594370-d3ee-4113-a728-af016d50d701', '7045a035-1130-425b-98b8-9694c4bf4798', 'c04fba55-24ab-4f1f-8c5c-5a3920b151a8']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-08.json,True,"['6866ad42-2348-447c-95d3-187cbca7d3b8', 'a9c0f640-a1f9-4500-8f54-39110e8f641c', '1f408924-c340-4d6b-a3ee-7429047a1b02', 'bc18add1-84dd-42c9-9b8f-da4c27b91453', '133baeab-389e-4d8b-9c0c-e4821b92cdc4', '1075eb1a-bc84-490c-ba21-232a5a90a697', 'e96b1859-d773-47df-a4b4-eb7d37facaad', '160778e8-25bc-415c-bf49-312ba6f4c194']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-09.json,True,"['4db3b918-ca42-4a00-9cc7-0a668093b178', '15adfbb7-150a-4646-85ed-e7d6d3c8ce06', '9a100906-8a71-47d8-a179-4ccdbc0c6d33', 'b298f010-2b9e-4423-b301-c36085fd6cfc']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-10.json,True,"['59625709-e9e0-44db-a4fe-8bba930b0561', '26bf2243-8e3e-4ccf-ac5e-0dfbd5bc76f4', '4ca8318f-3867-4555-bea1-b374a6ce7668', '721be1cb-68bb-41fa-8707-91b8d3f9e833', '88e7acbe-9b4e-4393-96e8-940b8df6636b', 'ba8d42bd-dc21-4ef4-a61d-9abdaf4409d8', '059fc7d8-1ae1-4548-bb93-4aab106bdfaf']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-11.json,True,"['7f5aef3a-0b75-4d44-bf47-a6bd61f8859e', 'fdd9cf1b-7c15-4f6f-a201-af233e7556cb', '2003f4a8-b42b-4c7f-906e-e93dd10342f7', '9ee400cc-5d1d-480c-9b00-e145a84b3d59', '534d0be3-55e9-470e-91ca-0b5a4e7f81d3', '005369d5-ddf4-4229-ab33-8a8c0926b5b4', '4a9bb13d-9af1-4692-9308-56d8ee127645']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-12.json,True,"['2078869e-a7db-44ad-8124-da71a370c368', '93f0e754-609d-4545-b230-b2c9fa1b3824', '1a32e5f9-35a1-4433-9e17-5f9a3056db60', '6165e345-2d1a-4743-a41a-095be09f2ab0', '0f4749b8-8bd8-4076-8efb-fe8ce4b40271', 'd82d59b7-83bd-4d89-80b8-1e76cc4afca8']",[],[],True,True,True
333699809 copy\247f45c8-b485-46ff-9e43-a6ab911fcc79-13.json,True,"['f4ca049c-74e4-4d71-b86d-f09de0272a50', '6d26f924-8829-43ef-9c0a-66787ebd7105']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-01.json,True,"['8cd17c05-b3d3-49f9-a9a3-5cc9994b3bb6', 'f232bd63-82da-458e-b7ad-218db6ce6f43', '1219b602-42ff-43df-9c4d-a1f9edcd2e60', '041b0591-bc93-4994-bcf9-5c4bcdd46562', '81a62304-4a05-432e-9bd2-9d0076014212', '09e71f7d-523b-4c4d-ab8f-85deea6f964f', '4071e410-0fcc-42eb-a2ff-481cca0b0dbd']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-02.json,True,"['94ea139c-1a11-48c6-b8a8-a782650d76c5', 'f965c111-ba76-457d-8941-a29a57760aa7', '0ec09a44-4582-4aae-8d97-361bae6f46c4', 'cf48c626-18cd-4f1a-a1cb-bc748e721ba9', '4c6311fc-afce-474d-abff-71efe3c25ac6', 'f407345e-f25b-4df9-8c4e-02e45efe4282', '61da4003-7ed2-43b6-9c5e-76e081d84c1b']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-03.json,True,"['0f06d840-5cab-4820-94f4-2231a8f0488b', '31713fc8-c043-448b-a746-53d2df5e7b24', '080ba146-bd6d-4e33-8ce2-b9812c425a87', 'b7eaec0a-4095-46f1-830a-d205186b6d7f', 'bcd56545-0c3b-4932-b6ab-af626742d0d4', '995c2bb1-ef8e-490a-b555-4ab7845a7c53', 'b3d09bd4-f944-4ce2-b6d7-9610a91849b0', '54f91dc3-e0a2-4e3c-b0bf-600d29321a07']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-04.json,True,"['900aad82-c1c2-4bd3-a4b6-7066e27b33b3', '2edf98d4-8f67-4a4c-b2f8-bc373fd67238', 'f45cb3ea-cba7-444a-b1b3-699a4c0a49f0', 'cc3582c9-1b10-4c19-a5b3-7ddca7c8c64d', 'ef791b0c-95cf-43e2-82ed-34f6028cf9cc', 'e8ff92ef-ffe4-4881-8b53-9b28940b676f']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-05.json,True,"['1f782ae3-38f2-4ac1-8692-b3cc07c1be4c', '7499cdee-0596-4171-b02d-64481bc70882', 'e1306b33-109a-4d00-a6ce-935bc95eacb1', '171be608-7e92-4292-90f8-158b3b458da8', '98895aca-04a3-4716-901d-f8695ebfcdb3', 'cb8b2ee0-2a89-4728-a7e0-fcd4cfa1f0d6', '2f7f5845-3d37-465e-979e-a8e6bddaa576', '227ba0a1-472f-447b-88ac-6ff684e0f91e']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-06.json,True,"['23690ff0-3d20-4c6c-a0fc-f600654bc896', 'f9c63730-f30d-4ec6-90bf-ba2869cb309b', '70522b0d-bfcf-43b4-b517-4d56c92067cc', 'fe80de41-0d3a-4ff9-8eaf-bfedf4cf1585', 'ba5d3943-8286-4d12-b1e1-654e3f2bc1f9', '745ccf5e-db11-4554-b92b-1e098a039580']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-07.json,True,"['79322097-f669-4748-8804-8d85d9d68599', '120034e9-be27-4fca-b36b-77cda9475803', '6721a7f6-f337-4f7f-91c0-8d31fa58a220', '805ca957-acfd-4093-97d0-f64937504f2c', '218046f8-0b56-4638-b1b8-12a5255b16a0', '6615b06f-e080-4e24-945f-47d09db6e3c9', '19277e8d-8866-4595-b194-d135d45ea273']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-08.json,True,"['78d49db1-fa8e-470b-a4a4-21233ea39306', 'a217e3d9-f0bd-4ace-8811-2a8621d74035', '1ec69433-97da-4533-bcf1-542af09515b8', '04bd4b90-b6c2-4cd3-8e55-b84d64ad2450', '6f7e55b8-16e8-47d7-98f5-1f2327a29208', 'c5564df9-224b-4d19-b578-6da80ddb59e0', '8011f99c-4e4b-4186-83fd-aa9a5065ff52', '46a86b58-cd6d-4087-a68d-df20a1334453']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-09.json,True,"['5e25b8b9-65d1-41a9-b0d1-38c6f46883c0', 'a0a87405-951a-4f14-ba11-40c14cf4b52d', '7128b771-3bdc-45c4-b4e2-b6da64888caf', '29322405-511a-40af-ba95-9ed790580387']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-10.json,True,"['d02312ea-1037-43df-8daa-5605054d9321', '4b9369b1-a819-417b-a1ff-318224dba75b', 'd330ed1d-c36f-459c-afdc-27b7f0a79f96', '76076297-55f0-416a-b863-ea5adc7189fb', '4c054517-1632-4bc4-b1d5-242da905cfc4', '53c0684a-6ea2-4fb9-8f92-a1cc38991aae', '543ff876-cafd-4e97-957c-83edafa0985c']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-11.json,True,"['186f4a6b-5746-4b24-a67d-3916fb8c4d46', 'fa9e3032-e42c-4819-95da-b210694fb01d', 'd51b249a-34ba-4626-a516-adf2e50170aa', 'b5faade8-5c8b-4476-90c9-d2cc9cdb09cd', '5c5342f1-862d-4909-97fc-9359c0960e8b', 'dc392bc5-68e5-4322-bbac-69f322c01771', '0341b8c3-1f24-49c9-ab94-d78872015ce3']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-12.json,True,"['c85a23d8-c1bf-40ad-a151-c5ecfab78fa6', 'a9280fc4-0b52-4998-be39-7bc38221f40b', 'f3f37bd2-a83b-4b8f-9682-25c0eb751043', '8739fd47-4ea8-40df-b56d-da6360409616', 'af6f72a5-170f-492a-ac82-4d47d98c6308', '72b11c47-28a7-48ad-ac4f-a515fabb01dc']",[],[],True,True,True
333699809\02500f0e-347c-4b2a-a36e-0c78e3517d3d-13.json,True,"['c48d1581-e511-4c19-a5cf-22d54bd1efea', '0237d7af-b296-40cd-a89b-fca66c4ace98']",[],[],True,True,True
334259116\fe926645-0d86-4cf5-8e8a-5c8e91eb3cbc-1.json,False,[],[],[],True,True,True
334259116\fe926645-0d86-4cf5-8e8a-5c8e91eb3cbc-1.json,False,[],[],[],True,True,True
334492683\52ae04a0-b738-49b3-aab5-eed6d2906984-1.json,True,"['98f458d3-201b-4156-9414-ec4b4a34f8aa', '79d979fd-fdcc-46dc-a81f-1b11be8bbe0b', '307ea58b-cd1c-4489-aa72-d231806df3a9']",['a1c62fb6-ff08-40bb-8af8-fc7e9583160b'],[],True,False,False
334492683\52ae04a0-b738-49b3-aab5-eed6d2906984-2.json,True,[],[],[],True,False,True
334492683\52ae04a0-b738-49b3-aab5-eed6d2906984-1.json,True,"['98f458d3-201b-4156-9414-ec4b4a34f8aa', '79d979fd-fdcc-46dc-a81f-1b11be8bbe0b', '307ea58b-cd1c-4489-aa72-d231806df3a9']",['a1c62fb6-ff08-40bb-8af8-fc7e9583160b'],[],True,False,False
334492683\52ae04a0-b738-49b3-aab5-eed6d2906984-2.json,True,[],[],[],True,False,True
334638368\044a2348-d391-4390-9740-eed883caed8e-1.json,True,['209faaeb-06aa-4f39-a459-838b3d616ae2'],[],[],True,False,False
334638368\044a2348-d391-4390-9740-eed883caed8e-2.json,True,['cf796a88-f365-4430-a952-44d02fe7991f'],[],[],True,False,False
334638368\044a2348-d391-4390-9740-eed883caed8e-1.json,True,['209faaeb-06aa-4f39-a459-838b3d616ae2'],[],[],True,False,False
334638368\044a2348-d391-4390-9740-eed883caed8e-2.json,True,['cf796a88-f365-4430-a952-44d02fe7991f'],[],[],True,False,False
334638368_copy\766f40b5-c7cf-4316-80e2-bc1dbc873361-1.json,True,['fcef855a-42e3-4f16-a7a1-47927d770a8b'],[],[],True,False,False
334638368_copy\766f40b5-c7cf-4316-80e2-bc1dbc873361-2.json,True,['b57d655d-626b-4402-8892-1abacd4bd7eb'],[],[],True,False,False
334638368_copy\766f40b5-c7cf-4316-80e2-bc1dbc873361-1.json,True,['fcef855a-42e3-4f16-a7a1-47927d770a8b'],[],[],True,False,False
334638368_copy\766f40b5-c7cf-4316-80e2-bc1dbc873361-2.json,True,['b57d655d-626b-4402-8892-1abacd4bd7eb'],[],[],True,False,False
334639176\749fc4ee-6716-49d2-a434-f274080f4f68-1.json,False,[],[],[],True,True,True
334639176\749fc4ee-6716-49d2-a434-f274080f4f68-1.json,False,[],[],[],True,True,True
334782083\74024257-7028-470a-a7de-d52e0a33c621-01.json,True,[],[],[],True,False,False
334782083\74024257-7028-470a-a7de-d52e0a33c621-02.json,True,[],[],[],True,False,False
334782083\74024257-7028-470a-a7de-d52e0a33c621-03.json,True,['b417374e-7247-453c-885a-755d59d49013'],[],[],True,False,False
334782083\74024257-7028-470a-a7de-d52e0a33c621-04.json,True,[],[],[],True,False,False
